block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,A_HV,p_balance,96,96,0,None,Fixed value
1,A_HV,p_balance,97,97,0,None,Fixed value
1,A_HV,p_balance,98,98,0,None,Fixed value
1,A_HV,p_balance,99,99,0,None,Fixed value
1,A_HV,p_balance,100,100,0,None,Fixed value
1,A_HV,p_balance,101,101,0,None,Fixed value
1,A_HV,p_balance,102,102,0,None,Fixed value
1,A_HV,p_balance,103,103,0,None,Fixed value
1,A_HV,p_balance,104,104,0,None,Fixed value
1,A_HV,p_balance,105,105,0,None,Fixed value
1,A_HV,p_balance,106,106,0,None,Fixed value
1,A_HV,p_balance,107,107,0,None,Fixed value
1,A_HV,p_balance,108,108,0,None,Fixed value
1,A_HV,p_balance,109,109,0,None,Fixed value
1,A_HV,p_balance,110,110,0,None,Fixed value
1,A_HV,p_balance,111,111,0,None,Fixed value
1,A_HV,p_balance,112,112,0,None,Fixed value
1,A_HV,p_balance,113,113,0,None,Fixed value
1,A_HV,p_balance,114,114,0,None,Fixed value
1,A_HV,p_balance,115,115,0,None,Fixed value
1,A_HV,p_balance,116,116,0,None,Fixed value
1,A_HV,p_balance,117,117,0,None,Fixed value
1,A_HV,p_balance,118,118,0,None,Fixed value
1,A_HV,p_balance,119,119,0,None,Fixed value
1,A_HV,p_balance,120,120,0,None,Fixed value
1,A_HV,p_balance,121,121,0,None,Fixed value
1,A_HV,p_balance,122,122,0,None,Fixed value
1,A_HV,p_balance,123,123,0,None,Fixed value
1,A_HV,p_balance,124,124,0,None,Fixed value
1,A_HV,p_balance,125,125,0,None,Fixed value
1,A_HV,p_balance,126,126,0,None,Fixed value
1,A_HV,p_balance,127,127,0,None,Fixed value
1,A_HV,p_balance,128,128,0,None,Fixed value
1,A_HV,p_balance,129,129,0,None,Fixed value
1,A_HV,p_balance,130,130,0,None,Fixed value
1,A_HV,p_balance,131,131,0,None,Fixed value
1,A_HV,p_balance,132,132,0,None,Fixed value
1,A_HV,p_balance,133,133,0,None,Fixed value
1,A_HV,p_balance,134,134,0,None,Fixed value
1,A_HV,p_balance,135,135,0,None,Fixed value
