block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,B,theta,36,36,0,0,Free
1,B,theta,37,37,0,0,Free
1,B,theta,38,38,0,0,Free
1,B,theta,39,39,0,0,Free
1,B,theta,40,40,0,0,Free
1,B,theta,41,41,0,0,Free
1,B,theta,42,42,0,0,Free
1,B,theta,43,43,0,0,Free
1,B,theta,44,44,0,0,Free
1,B,theta,45,45,0,0,Free
1,B,theta,46,46,0,0,Free
1,B,theta,47,47,0,0,Free
1,B,theta,48,48,0,0,Free
1,B,theta,49,49,0,0,Free
1,B,theta,50,50,0,0,Free
1,B,theta,51,51,0,0,Free
1,B,theta,52,52,0,0,Free
1,B,theta,53,53,0,0,Free
1,B,theta,54,54,0,0,Free
1,B,theta,55,55,0,0,Free
1,B,theta,56,56,0,0,Free
1,B,theta,57,57,0,0,Free
1,B,theta,58,58,0,0,Free
1,B,theta,59,59,0,0,Free
1,B,theta,60,60,0,0,Free
1,B,theta,61,61,0,0,Free
1,B,theta,62,62,0,0,Free
1,B,theta,63,63,0,0,Free
1,B,theta,64,64,0,0,Free
1,B,theta,65,65,0,0,Free
1,B,theta,66,66,0,0,Free
1,B,theta,67,67,0,0,Free
1,B,theta,68,68,0,0,Free
1,B,theta,69,69,0,0,Free
1,B,theta,70,70,0,0,Free
1,B,theta,71,71,0,0,Free
1,B,theta,72,72,0,0,Free
1,B,theta,73,73,0,0,Free
1,B,theta,74,74,0,0,Free
1,B,theta,75,75,0,0,Free
1,B,theta,76,76,0,0,Free
1,B,theta,77,77,0,0,Free
1,B,theta,78,78,0,0,Free
1,B,theta,79,79,0,0,Free
1,B,theta,80,80,0,0,Free
1,B,theta,81,81,0,0,Free
1,B,theta,82,82,0,0,Free
1,B,theta,83,83,0,0,Free
1,B,theta,84,84,0,0,Free
1,B,theta,85,85,0,0,Free
1,B,theta,86,86,0,0,Free
1,B,theta,87,87,0,0,Free
1,B,theta,88,88,0,0,Free
1,B,theta,89,89,0,0,Free
1,B,theta,90,90,0,0,Free
1,B,theta,91,91,0,0,Free
1,B,theta,92,92,0,0,Free
1,B,theta,93,93,0,0,Free
1,B,theta,94,94,0,0,Free
1,B,theta,95,95,0,0,Free
1,B,theta,96,96,0,0,Free
1,B,theta,97,97,0,0,Free
1,B,theta,98,98,0,0,Free
1,B,theta,99,99,0,0,Free
1,B,theta,100,100,0,0,Free
1,B,theta,101,101,0,0,Free
1,B,theta,102,102,0,0,Free
1,B,theta,103,103,0,0,Free
1,B,theta,104,104,0,0,Free
1,B,theta,105,105,0,0,Free
1,B,theta,106,106,0,0,Free
1,B,theta,107,107,0,0,Free
1,B,theta,108,108,0,0,Free
1,B,theta,109,109,0,0,Free
1,B,theta,110,110,0,0,Free
1,B,theta,111,111,0,0,Free
1,B,theta,112,112,0,0,Free
1,B,theta,113,113,0,0,Free
1,B,theta,114,114,0,0,Free
1,B,theta,115,115,0,0,Free
1,B,theta,116,116,0,0,Free
1,B,theta,117,117,0,0,Free
1,B,theta,118,118,0,0,Free
1,B,theta,119,119,0,0,Free
1,B,theta,120,120,0,0,Free
1,B,theta,121,121,0,0,Free
1,B,theta,122,122,0,0,Free
1,B,theta,123,123,0,0,Free
1,B,theta,124,124,0,0,Free
1,B,theta,125,125,0,0,Free
1,B,theta,126,126,0,0,Free
1,B,theta,127,127,0,0,Free
1,B,theta,128,128,0,0,Free
1,B,theta,129,129,0,0,Free
1,B,theta,130,130,0,0,Free
1,B,theta,131,131,0,0,Free
1,B,theta,132,132,0,0,Free
1,B,theta,133,133,0,0,Free
1,B,theta,134,134,0,0,Free
1,B,theta,135,135,0,0,Free
1,B,theta,136,136,0,0,Free
1,B,theta,137,137,0,0,Free
1,B,theta,138,138,0,0,Free
1,B,theta,139,139,0,0,Free
1,B,theta,140,140,0,0,Free
1,B,theta,141,141,0,0,Free
1,B,theta,142,142,0,0,Free
1,B,theta,143,143,0,0,Free
1,B,theta,144,144,0,0,Free
1,B,theta,145,145,0,0,Free
1,B,theta,146,146,0,0,Free
1,B,theta,147,147,0,0,Free
1,B,theta,148,148,0,0,Free
